katafxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué
tikihafc,5,13,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo-Jordi Alba,Andrés Iniesta-Xavi-Sergio Busquets-Karim Yoda-Adrián González-Allan Nyom-Zé Castro-Rubén Pardo-Claudio Bravo-Daniel Parejo-Antonio Barragán-Jordi Alba-Tito
takahofc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Jesús Fernández-Hicham Khaloua-Claudio Bravo-Juan Carlos
tikihffc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo,Andrés Iniesta-Xavi-Sergio Busquets-Roberto Rosales-Claudio Bravo-Luis Alberto-Roberto Canella
tikihofc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Pedro,Andrés Iniesta-Xavi-Sergio Busquets-Alfredo Ortuño-Uxío Marcos-Sergio Asenjo-Filipe Augusto-Pedro
tikihtfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Rubén Blanco-Thomas Vermaelen-Ander Capa-Marcelo-Roberto Trashorras
takaikfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Darder-Mikel Saizar-Juan Rafael Fuentes-T. Kolodziejczak-Víctor Pérez-Douglas-Pablo Pérez
tikiidfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Lillo-Jorge Morcillo-Tomás Pina-Thomas Vermaelen-Jeison Murillo
takaisfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Hicham Khaloua-Alexis-Sergi Roberto
tikiiifc,4,4,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić
tikiijfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić-Alfreð Finnbogason-Diego Colotto-Javier Espinosa-Dimitri Foulquier
takaiufc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Xavi,Andrés Iniesta-Xavi-Sergio Busquets-Dídac-Álex Pérez-Aleix Vidal-Dani Nieto-Xavi-Lucas
takajafc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Jon Irazusta-Jonathan Zongo-Sami Khedira-Marc Bartra-David Navarro
tikiivfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Txema Añibarro-Adriano-Laure
takajifc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Daniel Alves,Andrés Iniesta-Xavi-Sergio Busquets-Dani Iglesias-Piotr Trochowski-Jordi Xumetra-Pablo Piatti-Rubén García-Daniel Alves
tikiixfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-Carlos Fernández Luna-Álex Pérez-Sergio Asenjo-Douglas-Dany Nounkeu-Paco Alcácer-Shkodran Mustafi
takajlfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Carles Planas-Ivan Rakitić-Vitolo-Papa Diop
